date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:27	105897/105897	---M-Z	200	added ('OK')	text/html	etag:%2249c5-627bf1e5be0ef%22	https://khaoskampf.com/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/index.html	(from )
16:56:28	95540/95540	---M-Z	200	added ('OK')	text/html	etag:%2244df-627bf91481e0f;627befcd04306	https://khaoskampf.com/about-us/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/about-us/index.html	(from )
16:56:28	84169/84169	---M-Z	200	added ('OK')	text/html	etag:%224072-627bf988ecef1;627befcd04306	https://khaoskampf.com/contact/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/contact/index.html	(from )
16:56:28	106804/106804	---M-Z	200	added ('OK')	text/html	etag:%224f8c-627bf9933f8a6;627befcd04306	https://khaoskampf.com/resources/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/resources/index.html	(from )
16:56:28	98488/98488	---M-Z	200	added ('OK')	text/html	etag:%224b13-627bf99e6bec4;627befcd04306	https://khaoskampf.com/services/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/services/index.html	(from )
16:56:28	313/313	---MC-	200	added ('OK')	text/plain	date:Mon,%2025%20Nov%202024%2016:56:24%20GMT	https://khaoskampf.com/robots.txt		(from )
16:56:29	74407/74407	---M-Z	200	added ('OK')	text/html	etag:%223a27-627bf97d0412b;627befcd04306	https://khaoskampf.com/blog/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/blog/index.html	(from )
16:56:29	81549/81549	---M-Z	200	added ('OK')	text/html	etag:%223d1e-627bf9a7ef7ef;627befcd04306	https://khaoskampf.com/shop/	C:/My%20Web%20Sites/Khaos/khaoskampf.com/shop/index.html	(from )
16:56:29	16384/16384	---M-Z	200	added ('OK')	text/css	etag:%224000-61d87b7e088c0-gzip%22	https://khaoskampf.com/wp-includes/blocks/navigation/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/Khaos/khaoskampf.com/wp-includes/blocks/navigation/style.min9704.css	(from https://khaoskampf.com/)
16:56:29	18099/18099	---M-Z	200	added ('OK')	text/css	etag:%2246b3-624fae1cd0e40-gzip%22	https://khaoskampf.com/wp-includes/blocks/cover/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/Khaos/khaoskampf.com/wp-includes/blocks/cover/style.min9704.css	(from https://khaoskampf.com/)
